measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2019,19.713252975894598,33.05052955435801,10.562065092449643
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2019,225736.71422940886,480798.51195797627,101102.09432931841
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2019,347199.0685934749,782670.1420476958,122440.45629860713
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2017,21659.304908428578,39719.83664112532,12566.703324834201
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2017,34068.23585220008,72261.62984747661,14748.27045281951
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2017,0.15635588834343647,0.4880311758367865,0.063600383
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2017,10.722965774232579,20.407005201346244,4.828787870171734
1,Deaths,6,China,1,Male,22,All ages,558,Mental disorders,1,Number,2018,9.053630717975926,17.063789054556068,0.9782592894309526
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2018,19.60763698310075,30.876273648884723,10.962115590439309
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2016,20969.38718898418,38617.753655846325,12100.492254724282
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2016,33148.693425965044,70044.37811604948,14349.462077766546
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2016,0.06515724,0.41669681242038836,0.021059857
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2016,10.198769168020506,20.441453232365536,4.779313118236253
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2018,219776.22793329597,464421.9104033587,99715.09812396666
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2018,338069.29734514107,769454.0434582296,117512.61488335393
1,Deaths,95,United Kingdom,1,Male,22,All ages,542,Neurological disorders,1,Number,2020,22541.040383216234,40867.01228894121,13499.720441993706
1,Deaths,95,United Kingdom,2,Female,22,All ages,542,Neurological disorders,1,Number,2020,34813.42252943466,73995.11722899362,15376.370451581635
1,Deaths,95,United Kingdom,1,Male,22,All ages,558,Mental disorders,1,Number,2020,0.4567791402010181,0.6860432672715016,0.063628742
1,Deaths,95,United Kingdom,2,Female,22,All ages,558,Mental disorders,1,Number,2020,13.212262224044446,21.280265174908106,5.110176435836805
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2017,211757.1656030489,440205.90886220953,98302.09083232148
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2017,324662.83222180064,714318.1412308894,113099.57170530705
1,Deaths,6,China,1,Male,22,All ages,558,Mental disorders,1,Number,2016,8.783011333543676,15.925150073531107,0.9090431125770765
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2016,19.255057727218414,30.592518266381997,11.868090420786702
1,Deaths,6,China,1,Male,22,All ages,558,Mental disorders,1,Number,2021,8.735665799278497,19.419714447621736,1.0017050967522456
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2021,19.835321461700634,36.65097449062603,9.313227018
1,Deaths,6,China,1,Male,22,All ages,558,Mental disorders,1,Number,2017,9.004335125905516,16.530083342054763,0.9710398695411964
1,Deaths,6,China,2,Female,22,All ages,558,Mental disorders,1,Number,2017,19.449594210860933,31.00685668302396,11.432382288543877
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2020,238053.01232969543,500429.592,104962.4204870633
1,Deaths,6,China,2,Female,22,All ages,542,Neurological disorders,1,Number,2020,365587.8672004433,795258.3926454876,128306.96289427318
1,Deaths,6,China,1,Male,22,All ages,542,Neurological disorders,1,Number,2021,273334.9573623802,576734.4079479437,120382.12377249131
